phone_name,url,section,label,value
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,Technology,GSM / HSPA / LTE / 5G
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,2G bands,GSM 850 / 900 / 1800 / 1900
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,3G bands,HSDPA 850 / 900 / 1900 / 2100
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,4G bands,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 42, 66 - International"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,,"1, 3, 4, 5, 8, 26, 28, 38, 39, 40, 41, 66 - India"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,5G bands,"1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA - International"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,,"1, 3, 5, 8, 28, 38, 40, 41, 66, 77, 78 SA/NSA - India"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Network,Speed,"HSPA, LTE, 5G"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Launch,Announced,"2025, July 08"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Launch,Status,"Available. Released 2025, July 08"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Body,Dimensions,163.4 x 77 x 8.1 mm (6.43 x 3.03 x 0.32 in)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Body,Weight,211 g (7.44 oz)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Body,Build,"Glass front (Gorilla Glass 7i), plastic back, plastic frame"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Body,SIM,Nano-SIM + Nano-SIM
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Body,,IP65 dust tight and water resistant (low pressure water jets)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Display,Type,"Swift AMOLED, 1B colors, 144Hz, 3840Hz PWM, HDR10+, 800 nits (typ), 1400 nits (HBM), 1800 nits (peak)"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Display,Size,"6.83 inches, 113.3 cm 2 (~90.1% screen-to-body ratio)"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Display,Resolution,1272 x 2800 pixels (~450 ppi density)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Display,Protection,"Corning Gorilla Glass 7i, Mohs level 6"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Display,,Ultra HDR image support
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Platform,OS,"Android 15, up to 4 major Android upgrades, OxygenOS 15"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Platform,Chipset,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Platform,CPU,Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520)
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Platform,GPU,Adreno 735
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Memory,Card slot,No
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Memory,Internal,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Memory,,UFS 3.1
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Main Camera,Dual,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 8 MP, f/2.2, 15mm, 116˚ (ultrawide), 1/4.0"", 1.12µm, AF"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Main Camera,Features,"LED flash, Ultra HDR, panorama"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Main Camera,Video,"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Selfie camera,Single,"50 MP, f/2.0, 21mm (wide), 1/2.76"", 0.64µm, AF"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Selfie camera,Features,Panorama
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Selfie camera,Video,"4K@30/60fps, 1080p@30/60fps; gyro-EIS"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Sound,Loudspeaker,"Yes, with stereo speakers"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Sound,3.5mm jack,No
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,WLAN,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,Bluetooth,"5.4, A2DP, LE, aptX HD, LHDC 5"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,Positioning,"GPS, GLONASS, GALILEO, BDS, QZSS, NavIC"
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,NFC,Yes
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,Infrared port,Yes
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,Radio,No
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Comms,USB,USB Type-C 2.0
OnePlus Nord 5,https://www.gsmarena.com/oneplus_nord_5_5g-13992.php,Features,Sensors,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
